grid_id,lat,lon,n_campus,n_school,n_market,n_place_of_worship,n_park,n_residential,dominant_zone
G0412,-7.956999999999997,112.59249999999996,1,0,0,1,2,3,residential_area
G0413,-7.956999999999997,112.59699999999995,2,4,0,6,2,5,residential_area
G0414,-7.956999999999997,112.60149999999994,2,6,0,13,0,4,worship_area
G0415,-7.956999999999997,112.60599999999994,2,1,0,3,0,8,residential_area
G0416,-7.956999999999997,112.61049999999993,2,3,0,6,0,5,residential_area
G0417,-7.956999999999997,112.61499999999992,2,9,0,6,1,0,school_area
G0418,-7.956999999999997,112.61949999999992,0,11,0,3,1,1,school_area
G0419,-7.956999999999997,112.62399999999991,0,8,0,11,0,2,school_area
G0420,-7.956999999999997,112.6284999999999,0,2,1,9,0,1,worship_area
G0421,-7.956999999999997,112.6329999999999,1,2,1,7,0,1,worship_area
G0422,-7.956999999999997,112.63749999999989,2,5,0,10,0,0,campus_area
G0423,-7.956999999999997,112.64199999999988,2,5,0,9,1,0,campus_area
G0424,-7.956999999999997,112.64649999999988,0,3,0,3,1,0,school_area
G0425,-7.956999999999997,112.65099999999987,0,2,0,4,1,1,school_area
G0426,-7.956999999999997,112.65549999999986,0,2,0,3,0,6,residential_area
G0427,-7.956999999999997,112.65999999999985,0,3,0,1,0,11,residential_area
G0428,-7.956999999999997,112.66449999999985,0,1,0,0,0,3,residential_area
G0439,-7.952499999999997,112.58349999999997,0,0,0,0,1,0,public_area
G0440,-7.952499999999997,112.58799999999997,0,0,0,0,0,2,residential_area
G0441,-7.952499999999997,112.59249999999996,0,0,0,1,2,6,residential_area
G0442,-7.952499999999997,112.59699999999995,2,2,0,8,1,8,residential_area
G0443,-7.952499999999997,112.60149999999994,0,4,0,10,0,10,residential_area
G0444,-7.952499999999997,112.60599999999994,1,4,0,3,0,10,residential_area
G0445,-7.952499999999997,112.61049999999993,4,2,0,10,1,0,campus_area
G0446,-7.952499999999997,112.61499999999992,3,4,0,12,2,0,campus_area
G0447,-7.952499999999997,112.61949999999992,0,4,0,10,1,2,worship_area
G0448,-7.952499999999997,112.62399999999991,0,3,0,8,0,2,worship_area
G0449,-7.952499999999997,112.6284999999999,1,3,0,6,0,2,school_area
G0450,-7.952499999999997,112.6329999999999,1,2,0,5,0,2,residential_area
G0451,-7.952499999999997,112.63749999999989,0,3,0,9,0,0,worship_area
G0452,-7.952499999999997,112.64199999999988,1,1,0,10,1,0,worship_area
G0453,-7.952499999999997,112.64649999999988,0,2,0,6,1,0,worship_area
G0454,-7.952499999999997,112.65099999999987,0,2,0,3,0,0,school_area
G0455,-7.952499999999997,112.65549999999986,0,2,0,1,0,3,residential_area
G0456,-7.952499999999997,112.65999999999985,0,3,0,0,0,12,residential_area
G0457,-7.952499999999997,112.66449999999985,0,2,0,0,1,6,residential_area
G0467,-7.947999999999997,112.57899999999998,0,0,0,1,5,0,public_area
G0468,-7.947999999999997,112.58349999999997,0,0,0,1,5,1,public_area
G0470,-7.947999999999997,112.59249999999996,0,1,0,0,0,2,residential_area
G0471,-7.947999999999997,112.59699999999995,0,1,0,1,0,1,residential_area
G0472,-7.947999999999997,112.60149999999994,0,2,0,4,3,7,residential_area
G0473,-7.947999999999997,112.60599999999994,1,5,0,6,3,5,residential_area
G0474,-7.947999999999997,112.61049999999993,3,6,0,11,1,2,campus_area
G0475,-7.947999999999997,112.61499999999992,3,0,0,11,1,0,campus_area
G0476,-7.947999999999997,112.61949999999992,0,0,0,7,1,0,worship_area
G0477,-7.947999999999997,112.62399999999991,0,1,0,5,0,1,worship_area
G0478,-7.947999999999997,112.6284999999999,2,6,0,2,0,5,residential_area
G0479,-7.947999999999997,112.6329999999999,2,6,0,2,0,4,school_area
G0480,-7.947999999999997,112.63749999999989,0,3,0,8,0,1,worship_area
G0481,-7.947999999999997,112.64199999999988,0,1,0,8,0,0,worship_area
G0482,-7.947999999999997,112.64649999999988,0,0,0,2,1,0,public_area
G0483,-7.947999999999997,112.65099999999987,0,1,0,3,1,0,worship_area
G0484,-7.947999999999997,112.65549999999986,0,2,0,3,0,0,school_area
G0485,-7.947999999999997,112.65999999999985,0,2,0,2,0,2,residential_area
G0486,-7.947999999999997,112.66449999999985,0,0,0,1,1,1,residential_area
G0495,-7.943499999999997,112.57449999999999,0,1,0,0,0,3,residential_area
G0496,-7.943499999999997,112.57899999999998,0,1,0,0,2,4,residential_area
G0497,-7.943499999999997,112.58349999999997,0,0,0,1,7,2,public_area
G0498,-7.943499999999997,112.58799999999997,0,1,0,2,2,4,residential_area
G0499,-7.943499999999997,112.59249999999996,0,3,0,3,0,6,residential_area
G0500,-7.943499999999997,112.59699999999995,0,2,0,5,0,3,residential_area
G0501,-7.943499999999997,112.60149999999994,2,4,0,7,4,4,residential_area
G0502,-7.943499999999997,112.60599999999994,1,5,0,6,4,4,residential_area
G0503,-7.943499999999997,112.61049999999993,0,7,0,3,0,0,school_area
G0504,-7.943499999999997,112.61499999999992,1,1,0,4,1,0,campus_area
G0505,-7.943499999999997,112.61949999999992,1,2,0,4,1,0,campus_area
G0506,-7.943499999999997,112.62399999999991,0,1,0,6,1,1,worship_area
G0507,-7.943499999999997,112.6284999999999,2,5,0,6,0,5,residential_area
G0508,-7.943499999999997,112.6329999999999,3,4,0,1,0,4,campus_area
G0509,-7.943499999999997,112.63749999999989,2,9,1,4,1,2,school_area
G0510,-7.943499999999997,112.64199999999988,0,6,1,6,1,2,school_area
G0511,-7.943499999999997,112.64649999999988,0,0,0,3,0,1,residential_area
G0512,-7.943499999999997,112.65099999999987,0,1,0,2,1,0,public_area
G0513,-7.943499999999997,112.65549999999986,0,2,0,3,1,0,school_area
G0514,-7.943499999999997,112.65999999999985,0,3,0,1,0,0,school_area
G0515,-7.943499999999997,112.66449999999985,0,1,0,2,0,0,school_area
G0516,-7.943499999999997,112.66899999999984,0,0,0,1,0,0,worship_area
G0523,-7.9389999999999965,112.57,0,1,0,0,0,2,residential_area
G0524,-7.9389999999999965,112.57449999999999,0,1,0,0,0,5,residential_area
G0525,-7.9389999999999965,112.57899999999998,0,1,0,2,0,11,residential_area
G0526,-7.9389999999999965,112.58349999999997,0,1,0,2,1,11,residential_area
G0527,-7.9389999999999965,112.58799999999997,0,1,0,1,0,4,residential_area
G0528,-7.9389999999999965,112.59249999999996,0,5,0,3,0,3,school_area
G0529,-7.9389999999999965,112.59699999999995,0,5,0,4,0,1,school_area
G0530,-7.9389999999999965,112.60149999999994,2,0,0,5,0,2,campus_area
G0531,-7.9389999999999965,112.60599999999994,4,10,1,8,0,1,campus_area
G0532,-7.9389999999999965,112.61049999999993,1,8,1,4,0,3,school_area
G0533,-7.9389999999999965,112.61499999999992,0,1,0,3,0,2,residential_area
G0534,-7.9389999999999965,112.61949999999992,0,4,0,4,0,2,school_area
G0535,-7.9389999999999965,112.62399999999991,1,3,0,7,1,3,residential_area
G0536,-7.9389999999999965,112.6284999999999,1,1,0,5,0,0,campus_area
G0537,-7.9389999999999965,112.6329999999999,1,0,0,6,0,1,worship_area
G0538,-7.9389999999999965,112.63749999999989,2,11,1,7,0,3,school_area
G0539,-7.9389999999999965,112.64199999999988,0,13,1,6,0,1,school_area
G0540,-7.9389999999999965,112.64649999999988,1,2,0,5,0,1,campus_area
G0541,-7.9389999999999965,112.65099999999987,1,1,0,5,0,1,campus_area
G0542,-7.9389999999999965,112.65549999999986,0,0,0,4,1,1,worship_area
G0543,-7.9389999999999965,112.65999999999985,0,3,0,1,0,0,school_area
G0544,-7.9389999999999965,112.66449999999985,0,3,0,1,0,0,school_area
G0545,-7.9389999999999965,112.66899999999984,0,0,0,0,0,1,residential_area
G0546,-7.9389999999999965,112.67349999999983,0,0,0,0,0,1,residential_area
G0552,-7.934499999999996,112.57,0,1,0,0,0,1,residential_area
G0553,-7.934499999999996,112.57449999999999,0,1,0,0,0,3,residential_area
G0554,-7.934499999999996,112.57899999999998,0,0,0,2,0,8,residential_area
G0555,-7.934499999999996,112.58349999999997,0,1,0,2,0,7,residential_area
G0556,-7.934499999999996,112.58799999999997,0,1,0,1,0,2,residential_area
G0557,-7.934499999999996,112.59249999999996,0,2,0,1,0,1,school_area
G0558,-7.934499999999996,112.59699999999995,3,0,0,2,0,0,campus_area
G0559,-7.934499999999996,112.60149999999994,3,2,0,6,0,1,campus_area
G0560,-7.934499999999996,112.60599999999994,3,5,1,7,0,4,campus_area
G0561,-7.934499999999996,112.61049999999993,3,4,1,3,1,9,residential_area
G0562,-7.934499999999996,112.61499999999992,1,4,1,6,0,5,residential_area
